epoch,train_loss,val_loss,train_reg,val_reg,train_edge,val_edge,train_tv,val_tv,lr
7,0.121063,0.072965,0.121063,0.072965,0.007775,0.007683,3.00000000e-04
8,0.121133,0.076185,0.121133,0.076185,0.007845,0.007729,3.00000000e-04
9,0.115100,0.068924,0.115100,0.068924,0.008830,0.007046,3.00000000e-04
10,0.115800,0.073796,0.115799,0.073796,0.008477,0.007192,3.00000000e-04
11,0.117198,0.086032,0.117198,0.086032,0.008624,0.010370,3.00000000e-04
12,0.110535,0.072332,0.110535,0.072332,0.008343,0.008343,3.00000000e-04
13,0.110074,0.072045,0.110074,0.072045,0.010517,0.008757,3.00000000e-04
14,0.112119,0.067330,0.112119,0.067330,0.008952,0.008009,3.00000000e-04
15,0.106178,0.064508,0.106178,0.064508,0.009508,0.008627,3.00000000e-04
16,0.102963,0.067884,0.102963,0.067884,0.010175,0.010602,3.00000000e-04
17,0.104256,0.074413,0.104256,0.074413,0.011040,0.009253,3.00000000e-04
18,0.105067,0.073113,0.105067,0.073113,0.008899,0.010946,3.00000000e-04
19,0.115195,0.066961,0.115195,0.066961,0.010297,0.009066,3.00000000e-04
20,0.108260,0.067673,0.108260,0.067673,0.011105,0.009286,3.00000000e-04
21,0.102621,0.066211,0.102621,0.066211,0.011503,0.008637,1.50000000e-04
22,0.095050,0.063627,0.095050,0.063627,0.009192,0.009308,1.50000000e-04
